||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Charlesbourg--Haute-Saint-Charles|Free Party Canada|449
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Green Party|769
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Liberal|10296
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Bloc Québécois|19212
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|NDP-New Democratic Party|2239
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Free Party Canada|448
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Conservative|15826
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|People's Party - PPC|891
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Independent|236
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Green Party|733
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Liberal|10365
Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix|Bloc Québécois|19270
